id,type,readonly,group,name
0,8,1,deck,bcBigQuad
1,8,0,led,bitmask
2,8,0,motorPowerSet,enable
3,9,0,motorPowerSet,m1
4,9,0,motorPowerSet,m2
5,9,0,motorPowerSet,m3
6,9,0,motorPowerSet,m4
7,8,1,servo,servoInitialized
8,8,0,servo,servoAngle
9,6,0,pm,lowVoltage
10,6,0,pm,criticalLowVoltage
11,8,1,imu_sensors,BMP388
12,6,0,imu_sensors,imuPhi
13,6,0,imu_sensors,imuTheta
14,6,0,imu_sensors,imuPsi
15,8,1,imu_sensors,AK8963
16,8,1,imu_sensors,LPS25H
17,8,1,imu_tests,MPU6500
18,8,1,imu_tests,AK8963
19,8,1,imu_tests,LPS25H
20,6,0,imu_tests,imuPhi
21,6,0,imu_tests,imuTheta
22,6,0,imu_tests,imuPsi
23,8,0,system,storageStats
24,8,0,system,storageReformat
25,0,0,system,arm
26,8,0,system,taskDump
27,0,1,system,selftestPassed
28,8,0,system,assertInfo
29,8,0,system,testLogParam
30,8,0,system,doAssert
31,8,0,syslink,probe
32,8,0,usec,reset
33,8,0,colAv,enable
34,6,0,colAv,ellipsoidX
35,6,0,colAv,ellipsoidY
36,6,0,colAv,ellipsoidZ
37,6,0,colAv,bboxMinX
38,6,0,colAv,bboxMinY
39,6,0,colAv,bboxMinZ
40,6,0,colAv,bboxMaxX
41,6,0,colAv,bboxMaxY
42,6,0,colAv,bboxMaxZ
43,6,0,colAv,horizon
44,6,0,colAv,maxSpeed
45,6,0,colAv,sidestepThrsh
46,2,0,colAv,maxPeerLocAge
47,6,0,colAv,vorTol
48,2,0,colAv,vorIters
49,8,0,commander,enHighLevel
50,6,0,cppm,rateRoll
51,6,0,cppm,ratePitch
52,6,0,cppm,angPitch
53,6,0,cppm,angRoll
54,6,0,cppm,rateYaw
55,6,0,hlCommander,vtoff
56,6,0,hlCommander,vland
57,8,0,flightmode,althold
58,8,0,flightmode,poshold
59,8,0,flightmode,posSet
60,8,0,flightmode,yawMode
61,8,0,flightmode,stabModeRoll
62,8,0,flightmode,stabModePitch
63,8,0,flightmode,stabModeYaw
64,8,0,locSrv,enRangeStreamFP32
65,8,0,locSrv,enLhAngleStream
66,6,0,locSrv,extPosStdDev
67,6,0,locSrv,extQuatStdDev
68,9,0,crtpsrv,echoDelay
69,8,0,health,startPropTest
70,8,0,health,startBatTest
71,9,0,health,propTestPWMRatio
72,9,0,health,batTestPWMRatio
73,6,0,kalman,maxPos
74,6,0,kalman,maxVel
75,8,0,kalman,resetEstimation
76,8,0,kalman,robustTdoa
